OBJECTID1 *,OBJECTID,Research_Group,Date,Year,Month,Vessel,Sighting,Sight_Type,Start_Time,LocDesc,Start_Lat,Start_Long,Start_Dec_Lat,Start_Dec_Long,Depth,D_units,Species,Est_Size_Min,Est_Size_Max,Est_Size_Best,Num_Calves,Group_Type,GEX__m_,GEY__m_,Group_Beh,DOT,Other_Beh_1,Other_Beh_2,Other_Beh_3,Photos_,Est_ID,Actual_ID,Photographer_1,Series_Number_1,Frames_1,Photographer_2,Series_Number_2,Frames_2,Photographer_3,Series_Number_3,Frames_3,Comments,SHAPE *
1,306,MAKAH,16-Jul-20,2020,7,RHIB,8,SBE,12/30/1899 2:25:00 PM,,N 48 19.93,W 124 28.81,48.3321,-124.4801,28,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200716,20200716_JON_8032 - 20200716_JON_8089,,,,,,,,Point
2,295,MAKAH,14-Jul-20,2020,7,RHIB,13,S,12/30/1899 10:21:00 AM,Fuca Pillar,N 48 22.57,W 124 44.01,48.3761,-124.7335,75,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,,,,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200714,20200714_JON_6551 - 20200714_JON_6580,,,,,,,"hard spot to work, hopfully good photos",Point
3,103,MAKAH,11-Sep-19,2019,9,RHIB,20,SBE,12/30/1899 12:07:00 PM,,N 48 17.79,W 124 41.44,48.2965,-124.6906,34,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20190911,20190911_LIZ_7198 - 20190911_LIZ_7209,Jonathan Scordino,20190911,20190911_JON_0867 - 20190911_JON_0888,,,,,Point
4,327,MAKAH,27-Jul-20,2020,7,RHIB,19,SBE,12/30/1899 11:05:00 AM,Seal Rock,N 48 21.84,W 124 32.87,48.364,-124.5478,46,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_0154 - 20200727_JON_0164,,,,,,,likely an earlier whale. Killer whale rake whale (Munched),Point
5,329,MAKAH,27-Jul-20,2020,7,RHIB,22,SBE,12/30/1899 11:56:00 AM,,N 48 20.30,W 124 29.70,48.3383,-124.495,24,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_0374 - 20200727_JON_0475,,,,,,,,Point
6,63,MAKAH,12-Jul-19,2019,7,OPTIMISTIC,8,SBE,12/30/1899 10:39:00 AM,Green Bank,N 48 21.17,W 124 42.68,48.3528,-124.7113,41,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190712,20190712_LIZ_3383 - 20190712_LIZ_3479,Jonathan Scordino,20190712,20190712_JON_6975 - 20190712_JON_7025,,,,"Feeding, focal follow. Scat sample 2019-Er-02 collected by Liz. Collection location roughly the same as the initial sighting location. [Reassigned frames JON_7026-7055 from S10 to S8; was same single animal and camera times are off.]",Point
7,289,MAKAH,9-Jul-20,2020,7,RHIB,36,SBE,12/30/1899 1:57:00 PM,Duk Point,N 48 12.56,W 124 42.02,48.2093,-124.7003,18,ft,Er,<Null>,<Null>,2,1,,<Null>,<Null>,Travel,,Milling,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200709,20200709_JON_5668 - 20200709_JON_6009,,,,,,,"travel in echelon formation, milling. Appears to be calf but female is small
Er1 and Er2 are most likely same whale",Point
8,200,MAKAH,7-Nov-19,2019,11,RHIB,19,S,12/30/1899 11:36:00 AM,,N 48 18.37,W 124 41.35,48.3061,-124.6891,42,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191107,20191107_LIZ_3722 - 20191107_LIZ_3745,Jonathan Scordino,20191107,20191107_JON_5983 - 20191107_JON_6002,,,,,Point
9,341,MAKAH,5-Aug-20,2020,8,RHIB,7,SBE,12/30/1899 3:18:00 PM,Chito,N 48 19.19,W 124 26.81,48.3198,-124.4468,40,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200805,20200805_JON_1274 -20200805_JON_1313,Liliana Scordino,2020 Makah\20200805,20200805_LIZ_7078 - 20200805_LIZ_7151,,,,"travel, left only, scapula very visible",Point
10,300,MAKAH,14-Jul-20,2020,7,RHIB,44,SBE,12/30/1899 4:51:00 PM,Lingcod Alley,N 48 09.29,W 124 45.67,48.1548,-124.7611,60,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,Travel,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200714,20200714_JON_7372 - 20200714_JON_7536,,,,,,,"feed, travel/breach",Point
11,84,MAKAH,7-Aug-19,2019,8,RHIB,41,S,12/30/1899 3:06:00 PM,East Bodelteh,N 48 10.56,W 124 45.95,48.176,-124.7658,41,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,Travel,,,1,1,1,Elizabeth Allyn,20190807,20190807_LIZ_4750 - 20190807_LIZ_4785,Jonathan Scordino,20190807,20190807_JON_8466 - 20190807_JON_8543,,,,"Feed/travel, fecal sample collected MKH-Er-190807-6.  [Changed field ID from Er1 to Er8 in ID and sample record.]",Point
12,139,MAKAH,1-Oct-19,2019,10,RHIB,18,SBE,12/30/1899 10:45:00 AM,Archawat,N 48 20.92,W 124 42.28,48.3486,-124.7046,22,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191001,20191001_LIZ_9194 - 20191001_LIZ_9214,Jonathan Scordino,20191001,20191001_JON_2205 - 20191001_JON_2259,,,,recovered a lot of sand in the fecal sample,Point
13,297,MAKAH,14-Jul-20,2020,7,RHIB,18,SBE,12/30/1899 11:18:00 AM,Skagway,N 48 22.17,W 124 43.63,48.3695,-124.7271,30,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,Feeding,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200714,20200714_JON_6701 - 20200714_JON_6757,,,,,,,"left only, travel/feed",Point
14,335,MAKAH,31-Jul-20,2020,7,RHIB,52,SBE,12/30/1899 5:29:00 PM,,N 48 09.50,W 124 45.90,48.1583,-124.765,90,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,Travel,,,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200731,20200731_JON_0986 -20200731_JON_1086,,,,,,,"sighting 51 joined briefly, travel, just lefts",Point
15,155,MAKAH,10-Oct-19,2019,10,RHIB,29,S,12/30/1899 1:44:00 PM,East Bodelteh,N 48 10.70,W 124 45.33,48.1783,-124.7555,40,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191010,"20191010_LIZ_0539-0569, 0575-0603, 0604-0605",Jonathan Scordino,20191010,"20191010_JON_3501-3545, 3558-3563, 3564-3567",,,,"Uncle Peduncle. [Added unassigned frames 0604-0605 to this sighting, same animal]",Point
16,93,MAKAH,30-Aug-19,2019,8,RHIB,1,SBE,12/30/1899 2:08:00 PM,2nd Beach,N 48 22.26,W 124 34.04,48.371,-124.5673,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,Travel,,,1,1,1,Jonathan Scordino,20190830,20190830_JON_9516 - 20190830_JON_9556,,,,,,,"Followed, but no scat sample",Point
17,190,MAKAH,6-Nov-19,2019,11,RHIB,8,SBE,12/30/1899 3:08:00 PM,East Bullman,N 48 21.09,W 124 31.63,48.3515,-124.5271,22,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191106,20191106_LIZ_3274 - 20191106_LIZ_3316,Jonathan Scordino,20191106,20191106_JON_5618 - 20191106_JON_5634,,,,small whale,Point
18,214,MAKAH,21-Nov-19,2019,11,RHIB,12,SBE,12/30/1899 3:42:00 PM,Waadah,N 48 23.08,W 124 35.90,48.3846,-124.5983,18,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,Travel,,,1,1,1,Jonathan Scordino,20191121,"20191121_JON_7045 - 20191121_JON_7252, 7270-7275",,,,,,,"surface skimming. [Reassigned frames 7270-7275 from sighting 15, since it was same animal with only 5 minutes apart.]",Point
19,183,MAKAH,31-Oct-19,2019,10,RHIB,27,SBE,12/30/1899 1:37:00 PM,Anderson Rocks,N 48 18.10,W 124 41.73,48.3016,-124.6955,53,ft,Er,<Null>,<Null>,3,,,<Null>,<Null>,Feeding,,,,,1,3,3,Elizabeth Allyn,20191031,20191031_LIZ_2784 - 20191031_LIZ_3004,Jonathan Scordino,20191031,20191031_JON_5293 - 20191031_JON_5438,,,,,Point
20,101,MAKAH,11-Sep-19,2019,9,RHIB,16,SBE,12/30/1899 11:00:00 AM,,N 48 19.53,W 124 40.73,48.3255,-124.6788,46,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190911,20190911_LIZ_7089 - 20190911_LIZ_7187,Jonathan Scordino,20190911,20190911_JON_0755 - 20190911_JON_0846,,,,"Focal follow, feeding, no poop",Point
21,106,MAKAH,11-Sep-19,2019,9,RHIB,33,S,12/30/1899 2:22:00 PM,,N 48 10.49,W 124 45.86,48.1748,-124.7643,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20190911,20190911_LIZ_7306 - 20190911_LIZ_7312,,,,,,,[Frame set for this sighting is also assigned to S34],Point
22,310,MAKAH,20-Jul-20,2020,7,RHIB,34,S,12/30/1899 5:16:00 PM,,N 48 23.61,W 124 38.74,48.3935,-124.6456,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200720,20200720_JON_8506 - 20200720_JON_8521,,,,,,,,Point
23,216,MAKAH,21-Nov-19,2019,11,RHIB,16,S,12/30/1899 4:10:00 PM,Neah Bay,N 48 22.89,W 124 36.48,48.3815,-124.608,40,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,,,,,,1,2,2,Jonathan Scordino,20191121,20191121_JON_7420 - 20191121_JON_7554,,,,,,,munched and another whale,Point
24,113,MAKAH,20-Sep-19,2019,9,RHIB,10,SBE,12/30/1899 9:37:00 AM,Juan de Fuca Pillar,N 48 22.74,W 124 44.07,48.379,-124.7345,55,ft,Er,<Null>,<Null>,3,,,<Null>,<Null>,Feeding,,,,,1,3,3,Elizabeth Allyn,20190920,20190920_LIZ_7863 - 20190920_LIZ_7975,Jonathan Scordino,20190920,20190920_JON_1352 - 20190920_JON_1443,,,,"Feeding, dense scatter, Focal follow, too dark in waer to see scat",Point
25,348,MAKAH,19-Nov-20,2020,11,Optimistic,7,SBE,12/30/1899 2:39:00 PM,,N 48 20.45,W 124 29.91,48.3408,-124.4985,40,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20201119,20201119_LIZ_8450 - 20201119_LIZ_8521,,,,,,,,Point
26,302,MAKAH,16-Jul-20,2020,7,RHIB,1,SBE,12/30/1899 12:49:00 PM,2nd beach,N 48 22.49,W 124 34.87,48.3748,-124.5811,41,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200716,20200716_JON_7590 - 20200716_JON_7747,,,,,,,feeding,Point
27,215,MAKAH,21-Nov-19,2019,11,RHIB,15,S,12/30/1899 3:55:00 PM,,N 48 22.79,W 124 36.84,48.3798,-124.614,38,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,Breaching,,,1,1,1,Jonathan Scordino,20191121,20191121_JON_7276 - 20191121_JON_7419,,,,,,,"munched? [Reassigned frames 7270-7275 to Er sighting 12, since it was same animal with only 5 minutes apart.]",Point
28,352,MAKAH-NMML,4-Sep-19,2019,9,Blackfish,4,S,12/30/1899 11:39:00 AM,Fuca Pillar/Skagway,N 48 22.41,W 124 43.89,48.3735,-124.7315,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Elizabeth Allyn,20190904,20190904_LIZ_6303 - 20190904_LIZ_6312,,,,,,,"One bad photo, probably not usable for Id. Didn't stay very long on this whale because the goal was to get drone footage of new whales and this one had been seen in a similar spot a few days prior and had been tagged by Cascadia crew as well, so the crew ",Point
29,189,MAKAH,6-Nov-19,2019,11,RHIB,4,SBE,12/30/1899 2:24:00 PM,Sail Rock,N 48 21.80,W 124 33.46,48.3633,-124.5576,32,ft,Er,1,2,1,,,<Null>,<Null>,Travel,,,,,1,1,1,Elizabeth Allyn,20191106,20191106_LIZ_3223 - 20191106_LIZ_3273,Jonathan Scordino,20191106,20191106_JON_5587 - 20191106_JON_5617,,,,"[Deleted ""NA"" blank ID]",Point
30,141,MAKAH,1-Oct-19,2019,10,RHIB,39,S,12/30/1899 12:36:00 PM,,N 48 10.82,W 124 45.64,48.1803,-124.7606,59,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,,,,1,3,3,Elizabeth Allyn,20191001,20191001_LIZ_9348 - 20191001_LIZ_9478,Jonathan Scordino,20191001,20191001_JON_2329 - 20191001_JON_2479,,,,fecal samples colelcted from doorknob and the other whale. [Merged sides of S39_Er2/S39_Er3],Point
31,204,MAKAH,7-Nov-19,2019,11,RHIB,25,S,12/30/1899 12:53:00 PM,,N 48 17.33,W 124 41.50,48.2888,-124.6916,45,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191107,20191107_LIZ_4117 - 20191107_LIZ_4157,Jonathan Scordino,20191107,20191107_JON_6516 - 20191107_JON_6556,,,,,Point
32,308,MAKAH,20-Jul-20,2020,7,RHIB,6,SBE,12/30/1899 10:37:00 AM,Chibadahl,N 48 23.66,W 124 40.70,48.3943,-124.6783,41,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200720,20200720_JON_8176 - 20200720_JON_8296,,,,,,,"very skinny, slim",Point
33,311,MAKAH,22-Jul-20,2020,7,MAKAH,1,SBE,12/30/1899 6:50:00 AM,,N 48 22.83,W 124 37.45,48.3805,-124.6241,23,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\Opportunistic photos\20200722,20200722_DSC_0036 - 20200722_DSC_0047,,,,,,,,Point
34,185,MAKAH,31-Oct-19,2019,10,RHIB,41,S,12/30/1899 2:40:00 PM,,N 48 12.60,W 124 42.69,48.21,-124.7115,65,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191031,20191031_LIZ_3005 - 20191031_LIZ_3050,Jonathan Scordino,20191031,20191031_JON_5439 - 20191031_JON_5473,,,,,Point
35,197,MAKAH,7-Nov-19,2019,11,RHIB,13,SBE,12/30/1899 10:19:00 AM,Skagway,N 48 22.18,W 124 43.61,48.3696,-124.7268,31,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Elizabeth Allyn,20191107,20191107_LIZ_3683 - 20191107_LIZ_3699,Jonathan Scordino,20191107,20191107_JON_5946 - 20191107_JON_5971,,,,,Point
36,321,MAKAH,27-Jul-20,2020,7,RHIB,2,SBE,12/30/1899 8:15:00 AM,2nd Beach,N 48 22.39,W 124 34.84,48.3731,-124.5806,23,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_9769 - 20200727_JON_9808,,,,,,,,Point
37,278,MAKAH,26-Jun-20,2020,6,RHIB,20,SBE,12/30/1899 11:27:00 AM,Portage,N 48 17.30,W 124 41.49,48.2883,-124.6915,22,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200626,20200626_JON_3748 - 20200626_JON_3877,Charlotte Shaw,2020 Makah\20200626,20200626_CHA_6616 - 20200626_CHA_6717,,,,"Very rocky bottom, feeding",Point
38,107,MAKAH,11-Sep-19,2019,9,RHIB,34,S,12/30/1899 2:30:00 PM,,N 48 10.45,W 124 45.78,48.1741,-124.763,42,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20190911,20190911_LIZ_7306 - 20190911_LIZ_7339,Jonathan Scordino,20190911,20190911_JON_1008 - 20190911_JON_1047,,,,Small individual [Added unassigned frames 1008-1010 to this sighting],Point
39,142,MAKAH,1-Oct-19,2019,10,RHIB,40,S,12/30/1899 1:14:00 PM,Cannonball,N 48 10.22,W 124 44.72,48.1703,-124.7453,25,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191001,20191001_LIZ_9479 - 20191001_LIZ_9484,,,,,,,,Point
40,360,MAKAH-NMML,4-Sep-19,2019,9,Blackfish,20,SBE,12/30/1899 3:45:00 PM,South Ozette,N 48 09.00,W 124 44.76,48.15,-124.746,81,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,<Null>,<Null>,Elizabeth Allyn,20190904,20190904_LIZ_6590,,,,,,,"water red, one sample taken for Riley. [PQ ID photo]",Point
41,88,MAKAH,19-Aug-19,2019,8,RHIB,18,SBE,12/30/1899 11:48:00 AM,Portage,N 48 16.83,W 124 41.53,48.2805,-124.6921,<Null>,,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,,,,1,3,3,Elizabeth Allyn,20190819,20190819_LIZ_5782 - 20190819_LIZ_5884,Jonathan Scordino,20190819,20190819_JON_9081 - 20190819_JON_9258,,,,"Only 2 whales marked down on sighting, but 3 individual rights in photos. Fecal samples taken from Er1 and Er2, Er3 likely just passing through long enough for one surface interval.",Point
42,293,MAKAH,9-Jul-20,2020,7,RHIB,55,S,12/30/1899 4:30:00 PM,Lingcod Alley,N 48 09.30,W 124 45.52,48.155,-124.7586,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200709,20200709_JON_6375 - 20200709_JON_6462,,,,,,,"right only, feed",Point
43,112,MAKAH,19-Sep-19,2019,9,RHIB,13,SBE,12/30/1899 1:31:00 PM,Second Beach,N 48 22.57,W 124 35.00,48.3761,-124.5833,<Null>,,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,,,,1,1,1,Jonathan Scordino,20190911,20190919_LIZ_7728 - 20190919_LIZ_7862,,20190911,20190919_JON_1291 - 20190919_JON_1351,,,,"Biopsy sample taken. Second whale in sighting was same as sighting 4, photos not included. [Added ""S13_"" to field ID to distinguish between earlier sighting's Er1. Added unassigned JON frames to this sighting, unsure of photographer since Jonathan listed ",Point
44,133,MAKAH,30-Sep-19,2019,9,Optimistic,8,S,12/30/1899 4:10:00 PM,Bullman,N 48 21.28,W 124 31.84,48.3546,-124.5306,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20190930,20190930_LIZ_8805 - 20190930_LIZ_8817,,,,,,,,Point
45,179,MAKAH,31-Oct-19,2019,10,RHIB,16,SBE,12/30/1899 12:41:00 PM,,N 48 22.17,W 124 43.61,48.3695,-124.7268,28,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Breaching,,searching,,,1,1,1,Elizabeth Allyn,20191031,20191031_LIZ_2558 - 20191031_LIZ_2628,Jonathan Scordino,20191031,20191031_JON_5148 - 20191031_JON_5193,,,,,Point
46,110,MAKAH,11-Sep-19,2019,9,RHIB,40,S,12/30/1899 4:30:00 PM,,N 48 10.48,W 124 46.28,48.1746,-124.7713,65,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20190911,20190911_LIZ_7489 - 20190911_LIZ_7503,Jonathan Scordino,20190911,20190911_JON_1177 - 20190911_JON_1198,,,,Uncle Peduncle large white spot on left side of peduncle,Point
47,187,MAKAH,6-Nov-19,2019,11,RHIB,2,SBE,12/30/1899 1:50:00 PM,third beach,N 48 22.28,W 124 34.19,48.3713,-124.5698,25,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191106,20191106_LIZ_3094 - 20191106_LIZ_3160,Jonathan Scordino,20191106,20191106_JON_5504 - 20191106_JON_5544,,,,[Moved frames 3161-3164 to S03 and 5543-5544 from S03 to S02],Point
48,298,MAKAH,14-Jul-20,2020,7,RHIB,34,S,12/30/1899 1:44:00 PM,Chinatown,N 48 09.79,W 124 45.62,48.1631,-124.7603,64,ft,Er,2,3,2,,,<Null>,<Null>,Feeding,,,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200714,20200714_JON_6766 - 20200714_JON_7077,,,,,,,"Saw body, not blow, blow not hanging at all",Point
49,186,MAKAH,6-Nov-19,2019,11,RHIB,1,SBE,12/30/1899 1:30:00 PM,First Beach,N 48 22.57,W 124 35.09,48.3761,-124.5848,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191106,20191106_LIZ_3051 - 20191106_LIZ_3093,Jonathan Scordino,20191106,20191106_JON_5474 - 20191106_JON_5503,,,,,Point
50,322,MAKAH,27-Jul-20,2020,7,RHIB,13,SBE,12/30/1899 10:07:00 AM,E point of 3rd beach,N 48 22.24,W 124 34.10,48.3706,-124.5683,17,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_9809 - 20200727_JON_9894,,,,,,,Likely same whale as sighting #1,Point
51,272,MAKAH,18-Jun-20,2020,6,RHIB,5,SBE,12/30/1899 8:33:00 AM,Herda cabin,N 48 21.90,W 124 33.62,48.365,-124.5603,19,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200618,20200618_JON_1555 - 20200618_JON_1658,,,,,,,"Small, barnacles on head",Point
52,64,MAKAH,12-Jul-19,2019,7,OPTIMISTIC,10,SBE,12/30/1899 11:05:00 AM,Green Bank,N 48 21.34,W 124 42.93,48.3556,-124.7155,26,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,<Null>,1,Elizabeth Allyn,20190712,20190712_LIZ_3480 - 20190712_LIZ_3514,Jonathan Scordino,20190712,20190712_JON_7026 - 20190712_JON_7132,,,,"Feeding, focal follow. Er has killer whale rake anterior of first knuckle. Scat sample 2019-Er-03 collected by Jon and Liz - reddish color, no big chunks. [During photo processing Field ID was changed to from Er1 to Er2, in both ID box and Sample box, sam",Point
53,72,MAKAH,25-Jul-19,2019,7,HABITAT,13,SBE,12/30/1899 11:23:00 AM,Green Bank,N 48 20.81,W 124 42.62,48.3468,-124.7103,64,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190725,20190725_LIZ_3998 - 20190725_LIZ_4074,Jonathan Scordino,20190725,20190725_JON_7541 - 20190725_JON_7581,,,,"feeding, thin scatter layer. Near emergent rock.",Point
54,275,MAKAH,26-Jun-20,2020,6,RHIB,1,SBE,12/30/1899 9:00:00 AM,2nd Beach,N 48 22.53,W 124 34.95,48.3755,-124.5825,31,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200626,20200626_JON_3251 - 20200626_JON_3508,Charlotte Shaw,2020 Makah\20200626,20200626_CHA_6256 - 20200626_CHA_6428,,,,,Point
55,8,CRC,2-Sep-19,2019,9,ZIP,8,,12/30/1899 1:52:00 PM,,N48 19.61,W124 40.84,48.3268,-124.6807,<Null>,m,Er,<Null>,<Null>,2,0,1+1,<Null>,<Null>,Mill,,,,,1,2,<Null>,John Calambokidis,,172-185,Jonathan Scordino,20190902,20190902_JON_0275 - 20190902_JON_0438,,,,,Point
56,169,MAKAH,14-Oct-19,2019,10,RHIB,24,S,12/30/1899 3:52:00 PM,,N 48 23.59,W 124 40.92,48.3931,-124.682,38,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191014,20191014_LIZ_1813 - 20191014_LIZ_2040,Jonathan Scordino,20191014,20191014_JON_4535 - 20191014_JON_4715,,,,,Point
57,207,MAKAH,7-Nov-19,2019,11,RHIB,40,SBE,12/30/1899 2:22:00 PM,,N 48 10.30,W 124 46.19,48.1716,-124.7698,57,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191107,20191107_LIZ_4232 - 20191107_LIZ_4294,Jonathan Scordino,20191107,20191107_JON_6615 - 20191107_JON_6675,,,,,Point
58,174,MAKAH,31-Oct-19,2019,10,RHIB,8,SBE,12/30/1899 11:21:00 AM,Warmhouse,N 48 23.59,W 124 39.68,48.3931,-124.6613,<Null>,,Er,2,3,2,,,<Null>,<Null>,,,,,,1,2,2,Elizabeth Allyn,20191031,20191031_LIZ_2335 - 20191031_LIZ_2442,Jonathan Scordino,20191031,20191031_JON_4962 - 20191031_JON_5035,,,,"sighting 4 also present, travelling. [Switched frames 5031-5035 to this sighting from S#09. More photos of Er2 in unassigned frames 5077-5081, taken between S09 and S12.]",Point
59,282,MAKAH,9-Jul-20,2020,7,RHIB,6,SBE,12/30/1899 9:45:00 AM,Koitlah,N 48 23.39,W 124 38.00,48.3898,-124.6333,62,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,porpoising,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200709,20200709_JON_4450 - 20200709_JON_4566,,,,,,,"travel, porpoising",Point
60,175,MAKAH,31-Oct-19,2019,10,RHIB,9,S,12/30/1899 11:34:00 AM,Warmhouse,N 48 23.51,W 124 40.16,48.3918,-124.6693,30,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191031,20191031_LIZ_2443 - 20191031_LIZ_2465,Jonathan Scordino,20191031,20191031_JON_5036 - 20191031_JON_5076,,,,"focal follow, fecal sample collected. [Switched frames 5031-5035 to S#08]",Point
61,195,MAKAH,7-Nov-19,2019,11,RHIB,6,SBE,12/30/1899 9:33:00 AM,,N 48 23.33,W 124 43.33,48.3888,-124.7221,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191107,20191107_LIZ_3557 - 20191107_LIZ_3651,Jonathan Scordino,20191107,20191107_JON_5808 - 20191107_JON_5930,,,,Feeding along rocks,Point
62,296,MAKAH,14-Jul-20,2020,7,RHIB,15,SBE,12/30/1899 10:55:00 AM,Skagway,N 48 22.17,W 124 43.92,48.3695,-124.732,<Null>,,Er,<Null>,<Null>,3,,,<Null>,<Null>,Feeding,,Slow Travel,,,1,3,<Null>,Jonathan Scordino,2020 Makah\20200714,20200714_JON_6595 - 20200714_JON_6700,,,,,,,2 spot right skinny. Sighting 13 here too. Right only on 2 spot,Point
63,356,MAKAH-NMML,4-Sep-19,2019,9,Blackfish,10,SBE,12/30/1899 1:29:00 PM,Portage,N 48 17.45,W 124 41.70,48.2908,-124.695,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20190904,20190904_LIZ_6367 - 20190904_LIZ_6452,,,,,,,,Point
