OBJECTID1 *,OBJECTID,Research_Group,Date,Year,Month,Vessel,Sighting,Sight_Type,Start_Time,LocDesc,Start_Lat,Start_Long,Start_Dec_Lat,Start_Dec_Long,Depth,D_units,Species,Est_Size_Min,Est_Size_Max,Est_Size_Best,Num_Calves,Group_Type,GEX__m_,GEY__m_,Group_Beh,DOT,Other_Beh_1,Other_Beh_2,Other_Beh_3,Photos_,Est_ID,Actual_ID,Photographer_1,Series_Number_1,Frames_1,Photographer_2,Series_Number_2,Frames_2,Photographer_3,Series_Number_3,Frames_3,Comments,SHAPE *
186,201,MAKAH,7-Nov-19,2019,11,RHIB,20,SBE,12/30/1899 11:50:00 AM,,N 48 18.79,W 124 41.52,48.3131,-124.692,50,ft,Er,<Null>,<Null>,3,,,<Null>,<Null>,Travel,,,,,1,3,3,Elizabeth Allyn,20191107,20191107_LIZ_3746 - 20191107_LIZ_3820,Jonathan Scordino,20191107,20191107_JON_6003 - 20191107_JON_6102,,,,Originally recorded as 2 individuals but 3 seen in photos,Point
187,203,MAKAH,7-Nov-19,2019,11,RHIB,22,SBE,12/30/1899 12:28:00 PM,,N 48 17.86,W 124 41.97,48.2976,-124.6995,67,ft,Er,<Null>,<Null>,4,,,<Null>,<Null>,,,,,,1,4,4,Elizabeth Allyn,20191107,20191107_LIZ_3875 - 20191107_LIZ_4116,Jonathan Scordino,20191107,20191107_JON_6177 - 20191107_JON_6515,,,,,Point
188,152,MAKAH,10-Oct-19,2019,10,RHIB,12,SBE,12/30/1899 11:45:00 AM,Archawat,N 48 20.49,W 124 42.62,48.3415,-124.7103,49,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191010,20191010_LIZ_0467 - 20191010_LIZ_0499,Jonathan Scordino,20191010,20191010_JON_3416 - 20191010_JON_3458,,,,,Point
189,212,MAKAH,21-Nov-19,2019,11,RHIB,7,S,12/30/1899 2:53:00 PM,,N 48 22.14,W 124 33.85,48.369,-124.5641,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Jonathan Scordino,20191121,20191121_JON_6831 - 20191121_JON_6850,,,,,,,"dark, rights only",Point
190,316,MAKAH,26-Jul-20,2020,7,Optimistic,1,S,12/30/1899 9:42:00 AM,,N 48 22.73,W 124 35.44,48.3788,-124.5906,<Null>,,Er,<Null>,<Null>,2,,,<Null>,<Null>,Breaching,,Travel,,,1,2,<Null>,Jonathan Scordino,2020 Makah\Opportunistic photos\20200726,20200726_JON_0048 - 20200726_JON_0088,,,,,,,[Camera date/time off. Changed begin frame from 0050 to 0048 -ED],Point
191,202,MAKAH,7-Nov-19,2019,11,RHIB,21,S,12/30/1899 12:04:00 PM,,N 48 18.48,W 124 41.85,48.308,-124.6975,55,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191107,20191107_LIZ_3821 - 20191107_LIZ_3874,Jonathan Scordino,20191107,20191107_JON_6103 - 20191107_JON_6176,,,,"photo 1, lost the other",Point
192,7,CRC,2-Sep-19,2019,9,ZIP,1,,12/30/1899 9:25:00 AM,,N48 22.34,W124 43.95,48.3724,-124.7325,<Null>,m,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,John Calambokidis,,83-151,Jonathan Scordino,20190902,20190902_JON_0013 - 20190902_JON_0172,,,,John photos not in folder with JON photos,Point
193,303,MAKAH,16-Jul-20,2020,7,RHIB,3,SBE,12/30/1899 1:30:00 PM,Seal Rock,N 48 21.83,W 124 32.83,48.3638,-124.5471,37,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200716,20200716_JON_7748 - 20200716_JON_7774,,,,,,,,Point
194,92,MAKAH,20-Aug-19,2019,8,OPTIMISTIC,1,SBE,12/30/1899 9:18:00 AM,Sail River,N 48 21.90,W 124 33.24,48.365,-124.554,26,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190820,20190820_LIZ_6098 - 20190820_LIZ_6139,,,,,,,fecal sample collected,Point
195,2,CRC,1-Sep-19,2019,9,ZIP,3,,12/30/1899 2:27:00 PM,,N48 18.66,W124 41.13,48.311,-124.6855,7,m,Er,<Null>,<Null>,1,0,Single,<Null>,<Null>,Mill,,Travel-Mod,,,1,1,<Null>,John Calambokidis,,21-43,Jonathan Scordino,20190901,20190901_JON_9684 - 20190901_JON_9761,,,,"cats 47 164.725
John photos not in folder with JON photos",Point
196,206,MAKAH,7-Nov-19,2019,11,RHIB,39,SBE,12/30/1899 2:12:00 PM,East Bodelteh,N 48 10.81,W 124 45.61,48.1801,-124.7601,56,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191107,20191107_LIZ_4207 - 20191107_LIZ_4231,Jonathan Scordino,20191107,20191107_JON_6588 - 20191107_JON_6614,,,,,Point
